CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,1236.0,0
1,49.26,46.99,48,35.31,108.13,90
2,74.13,25.16,12,0.0,1236.0,90
3,80.46,52.81,12,140.32,320.32,90
4,28.74,48.55,24,0.0,1236.0,90
5,87.34,15.08,48,0.0,1236.0,90
6,80.92,12.2,24,0.0,1236.0,90
7,63.41,61.91,12,0.0,1236.0,90
8,53.13,10.91,24,432.81,562.88,90
9,84.79,80.5,12,0.0,1236.0,90
10,89.26,46.9,48,63.69,172.6,90
11,25.89,15.18,36,560.43,650.93,90
12,66.87,83.45,48,543.71,800.57,90
13,33.9,86.26,24,0.0,1236.0,90
14,57.0,81.08,24,539.81,602.72,90
15,40.39,90.6,48,0.0,1236.0,90
16,62.62,2.72,48,0.0,1236.0,90
17,81.14,87.88,12,0.0,1236.0,90
18,19.69,81.73,24,478.42,658.42,90
19,86.09,89.55,24,0.0,1236.0,90
20,31.72,43.46,48,397.77,473.45,90
21,55.39,10.69,36,288.76,452.04,90
22,65.42,21.95,24,522.55,702.55,90
23,77.38,9.32,36,265.7,413.2,90
24,29.63,59.55,48,0.0,1236.0,90
25,44.6,84.89,48,0.0,1236.0,90
26,83.19,83.81,12,54.85,106.76,90
27,83.97,38.61,24,45.42,180.15,90
28,42.49,88.42,36,432.22,792.22,90
29,28.99,50.73,12,11.03,232.52,90
30,84.96,52.26,24,0.0,1236.0,90
31,87.64,51.04,12,193.0,553.0,90
32,61.21,84.57,48,268.67,542.51,90
33,52.18,44.99,24,566.47,626.33,90
34,88.2,10.93,12,0.0,1236.0,90
35,17.38,18.99,12,0.0,1236.0,90
36,58.82,50.05,36,0.0,1236.0,90
37,84.26,12.96,12,0.0,1236.0,90
38,60.03,47.12,24,0.0,1236.0,90
39,24.64,9.88,24,610.15,658.93,90
40,76.15,44.84,36,0.0,1236.0,90
41,27.26,18.22,24,0.0,1236.0,90
42,56.86,11.98,48,0.0,1236.0,90
43,82.46,78.79,24,0.0,1236.0,90
44,27.44,22.9,24,0.0,1236.0,90
45,57.66,88.48,12,0.0,1236.0,90
46,86.97,12.9,12,0.0,1236.0,90
47,29.1,41.46,24,0.0,1236.0,90
48,53.75,21.51,36,0.0,1236.0,90
49,88.54,26.04,12,0.0,1236.0,90
50,26.63,13.9,36,157.05,517.05,90
51,21.26,85.27,24,0.0,1236.0,90
52,50.58,86.43,24,37.94,131.24,90
53,91.07,45.6,48,0.0,1236.0,90
54,27.55,56.24,12,0.0,1236.0,90
55,27.4,57.92,24,0.0,1236.0,90
56,89.14,55.05,48,49.4,373.05,90
57,23.24,82.87,12,36.9,86.95,90
58,57.39,16.67,24,56.78,126.48,90
59,25.44,10.26,24,0.0,1236.0,90
60,36.29,45.33,12,536.66,589.39,90
61,52.86,82.24,12,257.29,318.75,90
62,55.14,14.32,12,612.92,679.2,90
63,16.84,51.4,24,0.0,1236.0,90
64,49.11,46.6,24,0.0,1236.0,90
65,28.27,84.72,48,36.65,174.72,90
66,67.23,85.65,36,538.25,806.52,90
67,63.91,87.95,12,0.0,1236.0,90
68,51.99,91.51,24,0.0,1236.0,90
69,92.97,82.44,24,0.0,1236.0,90
70,53.35,82.65,12,35.27,167.62,90
71,25.28,55.47,36,0.0,1236.0,90
72,47.08,92.08,12,189.3,369.3,90
73,60.35,47.09,36,0.0,1236.0,90
74,50.42,51.23,24,0.0,1236.0,90
75,29.12,50.37,36,146.62,215.8,90
76,47.22,1.08,48,528.91,643.32,90
77,22.78,15.41,24,0.0,1236.0,90
78,87.36,7.35,48,0.0,1236.0,90
79,29.02,49.21,12,0.0,1236.0,90
80,21.41,19.53,12,0.0,1236.0,90
81,49.91,17.58,12,0.0,1236.0,90
82,36.38,41.85,36,0.0,1236.0,90
83,97.87,50.3,24,152.31,332.31,90
84,31.75,83.35,12,0.0,1236.0,90
85,24.84,12.28,12,503.22,565.47,90
86,46.75,88.5,24,467.5,584.65,90
87,91.94,1.7,12,0.0,1236.0,90
88,31.23,4.63,48,82.87,262.87,90
89,26.45,48.73,24,368.33,618.7,90
90,20.86,89.61,24,153.18,193.42,90
91,79.45,23.76,24,0.0,1236.0,90
92,23.72,90.12,48,518.15,581.41,90
93,81.48,81.36,24,171.23,214.79,90
94,55.49,84.35,48,630.88,709.14,90
95,85.72,19.89,24,385.04,622.34,90
96,53.8,83.13,36,44.48,159.8,90
97,46.53,80.5,12,166.16,346.16,90
98,56.63,8.74,36,0.0,1236.0,90
99,48.79,10.92,12,611.86,672.16,90
100,53.35,14.52,48,632.22,698.88,90
