CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,1000.0,0
1,90.78,72.13,5,0.0,1000.0,10
2,67.71,52.26,11,0.0,1000.0,10
3,78.2,15.56,25,51.43,118.77,10
4,39.19,49.0,48,1.29,102.64,10
5,11.04,41.95,15,712.36,832.36,10
6,31.65,3.56,29,440.83,680.83,10
7,13.67,76.4,43,37.29,284.94,10
8,1.8,93.43,26,578.24,818.24,10
9,8.64,79.92,43,819.65,956.66,10
10,89.86,94.11,29,674.98,933.43,10
11,86.75,28.76,57,59.27,299.27,10
12,33.31,42.65,35,0.0,1000.0,10
13,13.93,2.23,31,54.42,343.99,10
14,86.91,55.41,20,0.0,1000.0,10
15,60.87,92.7,20,0.0,1000.0,10
16,66.51,69.09,66,474.82,714.82,10
17,78.7,11.63,17,0.0,1000.0,10
18,36.02,96.82,74,0.0,1000.0,10
19,92.29,88.41,23,0.0,1000.0,10
20,45.21,85.72,26,260.27,740.27,10
21,4.84,14.85,77,0.0,1000.0,10
22,41.4,48.34,43,0.0,1000.0,10
23,26.35,35.65,29,584.83,944.83,10
24,16.28,48.91,6,499.01,859.01,10
25,79.38,66.14,34,331.61,571.61,10
26,10.78,48.76,34,0.0,1000.0,10
27,69.76,52.99,57,702.98,970.09,10
28,39.17,62.19,60,0.0,1000.0,10
29,96.86,9.49,52,69.81,273.52,10
30,39.0,40.66,51,0.0,1000.0,10
31,57.7,15.22,68,39.02,261.62,10
32,17.66,28.54,65,760.07,969.02,10
33,95.59,73.41,61,0.0,1000.0,10
34,66.17,81.7,51,512.27,632.27,10
35,12.76,85.93,18,627.67,954.91,10
36,59.48,33.53,3,433.13,913.13,10
37,81.59,80.26,43,0.0,1000.0,10
38,84.57,11.55,15,0.0,1000.0,10
39,96.94,95.96,34,0.0,1000.0,10
40,35.75,6.59,26,190.76,670.76,10
41,16.71,99.28,40,114.55,474.55,10
42,56.3,35.66,5,0.0,1000.0,10
43,28.82,25.7,11,0.0,1000.0,10
44,66.42,41.94,68,581.03,972.38,10
45,96.54,68.38,12,61.44,301.44,10
46,79.2,29.27,31,653.59,955.66,10
47,7.92,48.78,18,0.0,1000.0,10
48,31.46,20.21,54,189.79,549.79,10
49,95.26,44.4,26,0.0,1000.0,10
50,17.47,19.87,43,37.62,296.39,10
51,28.07,99.93,63,367.5,847.5,10
52,26.8,32.88,15,21.62,247.26,10
53,65.93,29.4,34,589.58,829.58,10
54,21.58,15.86,58,653.3,893.3,10
55,31.27,10.59,51,239.45,719.45,10
56,1.86,80.46,34,347.69,827.69,10
57,13.79,77.6,68,459.74,579.74,10
58,79.75,53.79,57,454.24,814.24,10
59,30.97,14.5,20,0.0,1000.0,10
60,73.68,60.14,41,0.0,1000.0,10
61,65.55,0.87,23,0.0,1000.0,10
62,92.75,6.63,34,455.5,695.5,10
63,36.68,40.27,46,651.79,989.72,10
64,0.14,49.71,66,278.25,518.25,10
65,75.28,82.33,61,0.0,1000.0,10
66,87.94,48.77,57,47.96,263.89,10
67,63.06,7.95,52,563.35,683.35,10
68,48.8,15.48,68,0.0,1000.0,10
69,36.96,32.93,52,433.25,913.25,10
70,42.35,57.16,74,278.31,638.31,10
71,90.29,39.45,54,270.32,390.32,10
72,98.11,75.9,65,0.0,1000.0,10
73,51.15,64.4,29,0.0,1000.0,10
74,10.22,84.45,12,642.15,954.46,10
75,58.24,98.61,60,866.63,948.08,10
76,63.64,83.41,51,0.0,1000.0,10
77,79.98,34.55,68,51.13,531.13,10
78,25.96,43.05,43,0.0,1000.0,10
79,46.72,24.01,57,0.0,1000.0,10
80,89.46,54.25,74,668.27,788.27,10
81,97.84,81.0,38,282.73,402.73,10
82,55.57,94.7,55,0.0,1000.0,10
83,50.49,88.71,26,115.03,355.03,10
84,35.81,37.86,37,208.0,328.0,10
85,41.81,54.66,32,0.0,1000.0,10
86,55.35,49.64,3,583.27,703.27,10
87,30.6,92.72,48,460.78,820.78,10
88,58.86,40.77,68,21.0,378.07,10
89,65.12,76.8,51,0.0,1000.0,10
90,96.07,49.95,46,98.29,218.29,10
91,11.21,44.08,18,0.0,1000.0,10
92,47.9,89.7,68,0.0,1000.0,10
93,39.48,95.33,18,339.65,459.65,10
94,48.51,97.38,75,423.55,663.55,10
95,0.82,89.88,37,599.55,719.55,10
96,93.11,96.1,37,0.0,1000.0,10
97,1.31,17.17,17,0.0,1000.0,10
98,65.38,2.55,20,0.0,1000.0,10
99,6.36,22.11,41,485.05,956.3,10
100,51.24,54.59,12,0.0,1000.0,10
