CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,960.0,0
1,1.57,45.78,88,233.83,353.83,10
2,2.53,57.03,31,0.0,960.0,10
3,50.68,84.0,83,0.0,960.0,10
4,58.18,32.34,76,0.0,960.0,10
5,51.62,69.97,54,550.91,936.9,10
6,9.4,62.11,14,0.0,960.0,10
7,91.66,29.91,72,0.0,960.0,10
8,62.66,82.13,83,246.85,486.85,10
9,51.18,71.8,13,0.0,960.0,10
10,31.1,30.61,11,0.0,960.0,10
11,66.76,70.54,7,360.7,600.7,10
12,93.7,22.48,2,0.0,960.0,10
13,46.82,25.05,27,0.0,960.0,10
14,8.01,40.32,56,0.0,960.0,10
15,37.41,27.04,45,0.0,960.0,10
16,29.7,36.04,84,548.69,788.69,10
17,98.88,78.3,59,0.0,960.0,10
18,7.14,87.24,63,0.0,960.0,10
19,63.33,89.06,9,233.64,593.64,10
20,34.17,46.45,9,0.0,960.0,10
21,89.62,27.26,65,54.58,304.55,10
22,91.55,82.85,31,0.0,960.0,10
23,98.06,32.43,25,0.0,960.0,10
24,23.58,33.09,52,0.0,960.0,10
25,95.46,33.31,14,485.83,902.08,10
26,56.52,40.37,61,0.0,960.0,10
27,39.62,19.34,72,0.0,960.0,10
28,53.71,84.94,2,0.0,960.0,10
29,4.95,88.92,52,0.0,960.0,10
30,66.55,61.67,65,554.67,914.67,10
31,62.59,29.63,67,0.0,960.0,10
32,41.51,79.93,52,0.0,960.0,10
33,30.64,47.0,9,0.0,960.0,10
34,1.96,73.36,58,0.0,960.0,10
35,41.77,52.54,43,0.0,960.0,10
36,11.47,99.17,34,427.1,787.1,10
37,30.25,63.5,22,0.0,960.0,10
38,58.12,78.51,2,0.0,960.0,10
39,29.38,75.59,13,0.0,960.0,10
40,38.25,41.12,31,0.0,960.0,10
41,67.27,78.43,61,0.0,960.0,10
42,66.69,89.99,77,338.93,818.93,10
43,28.52,90.06,13,0.0,960.0,10
44,13.09,65.95,31,0.0,960.0,10
45,54.76,49.46,5,0.0,960.0,10
46,31.09,50.37,52,0.0,960.0,10
47,16.18,36.93,40,102.7,462.7,10
48,9.87,57.18,68,0.0,960.0,10
49,9.58,16.03,77,0.0,960.0,10
50,8.55,38.13,52,0.0,960.0,10
51,29.95,57.15,90,0.0,960.0,10
52,90.22,15.3,90,0.0,960.0,10
53,55.62,72.74,76,500.83,932.41,10
54,53.84,12.16,9,0.0,960.0,10
55,34.01,87.79,54,0.0,960.0,10
56,90.63,2.61,41,0.0,960.0,10
57,14.78,48.54,38,0.0,960.0,10
58,80.25,19.34,47,0.0,960.0,10
59,86.14,48.41,84,0.0,960.0,10
60,57.7,86.38,38,211.06,331.06,10
61,22.69,11.76,36,0.0,960.0,10
62,26.16,55.09,41,414.96,894.96,10
63,86.04,46.84,7,0.0,960.0,10
64,80.04,49.87,38,0.0,960.0,10
65,52.13,57.95,38,0.0,960.0,10
66,57.51,88.28,2,0.0,960.0,10
67,15.69,58.88,27,0.0,960.0,10
68,86.54,83.2,31,0.0,960.0,10
69,91.36,86.9,25,0.0,960.0,10
70,25.27,44.94,34,0.0,960.0,10
71,46.2,84.15,90,0.0,960.0,10
72,53.62,81.44,61,0.0,960.0,10
73,25.69,83.14,11,0.0,960.0,10
74,46.12,18.87,81,31.73,227.41,10
75,20.64,57.81,88,0.0,960.0,10
76,21.48,90.97,11,87.17,207.17,10
77,91.51,55.01,9,0.0,960.0,10
78,22.71,14.71,13,165.95,645.95,10
79,48.82,55.93,59,564.8,804.8,10
80,95.43,84.26,23,0.0,960.0,10
81,82.96,20.0,2,0.0,960.0,10
82,51.09,47.58,23,0.0,960.0,10
83,82.09,11.98,77,0.0,960.0,10
84,92.29,54.11,49,0.0,960.0,10
85,85.21,46.08,13,0.0,960.0,10
86,88.44,24.04,5,0.0,960.0,10
87,27.77,44.73,45,0.0,960.0,10
88,26.74,42.41,59,0.0,960.0,10
89,81.14,6.48,72,0.0,960.0,10
90,54.58,88.35,31,667.41,918.97,10
91,89.03,13.98,81,0.0,960.0,10
92,92.07,55.34,25,52.34,334.44,10
93,78.02,54.34,67,0.0,960.0,10
94,89.99,79.28,41,0.0,960.0,10
95,86.98,87.25,43,0.0,960.0,10
96,86.05,13.54,52,0.0,960.0,10
97,53.02,12.45,68,0.0,960.0,10
98,18.38,79.48,49,0.0,960.0,10
99,87.17,15.59,68,0.0,960.0,10
100,58.64,92.62,72,0.0,960.0,10
