CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,1236.0,0
1,26.14,47.1,27,164.57,221.18,90
2,95.05,79.34,27,0.0,1236.0,90
3,57.09,57.95,10,0.0,1236.0,90
4,52.91,16.05,10,327.79,507.79,90
5,84.8,47.8,18,0.0,1236.0,90
6,15.19,81.77,18,567.86,747.86,90
7,91.98,50.03,36,392.85,460.14,90
8,80.96,84.81,10,222.44,287.09,90
9,20.5,15.65,27,543.53,655.41,90
10,30.87,77.96,27,405.04,510.43,90
11,33.49,13.97,36,0.0,1236.0,90
12,60.41,86.62,10,409.83,519.39,90
13,25.94,48.12,18,115.57,295.57,90
14,85.69,12.39,36,0.0,1236.0,90
15,27.91,55.74,27,460.68,512.38,90
16,54.8,13.1,10,0.0,1236.0,90
17,55.05,82.21,18,240.39,337.0,90
18,87.62,51.89,18,109.01,179.6,90
19,51.92,46.62,27,0.0,1236.0,90
20,90.79,10.82,27,332.23,377.1,90
21,85.47,90.57,27,60.94,196.69,90
22,52.34,12.71,27,264.48,333.76,90
23,18.81,83.18,18,429.51,531.66,90
24,58.89,43.97,10,0.0,1236.0,90
25,88.4,83.87,18,87.48,149.27,90
26,62.41,58.91,27,0.0,1236.0,90
27,83.62,51.24,10,0.0,1236.0,90
28,84.41,75.23,18,419.38,779.38,90
29,55.43,85.91,10,0.0,1236.0,90
30,65.38,87.89,18,0.0,1236.0,90
31,26.76,54.02,10,0.0,1236.0,90
32,82.37,79.33,18,415.62,488.45,90
33,81.18,20.91,18,596.84,641.44,90
34,23.23,10.09,36,119.52,273.56,90
35,81.59,56.1,27,614.36,681.69,90
36,73.95,19.32,36,425.68,490.48,90
37,16.17,48.59,18,0.0,1236.0,90
38,77.89,43.86,27,456.62,560.73,90
39,77.56,10.56,18,0.0,1236.0,90
40,90.45,76.23,36,201.89,316.07,90
41,91.15,77.85,10,0.0,1236.0,90
42,81.77,19.36,10,0.0,1236.0,90
43,32.72,79.02,27,503.05,552.84,90
44,53.13,19.72,36,0.0,1236.0,90
45,19.73,78.22,36,144.02,211.68,90
46,32.08,49.88,18,0.0,1236.0,90
47,46.88,84.55,27,0.0,1236.0,90
48,23.62,58.72,10,18.56,162.88,90
49,89.46,29.23,36,0.0,1236.0,90
50,20.22,11.5,18,480.41,536.67,90
51,88.74,93.0,27,566.85,630.53,90
52,20.41,98.09,36,393.32,526.25,90
53,52.99,49.91,36,72.2,218.96,90
54,56.52,17.96,10,0.0,1236.0,90
55,20.62,46.67,36,446.23,496.63,90
56,32.87,9.17,10,0.0,1236.0,90
57,80.63,48.34,36,85.4,142.16,90
58,82.84,18.43,18,0.0,1236.0,90
59,22.22,51.81,18,380.24,489.64,90
60,24.29,7.64,18,45.18,270.73,90
61,16.34,82.39,27,0.0,1236.0,90
62,28.59,80.18,27,0.0,1236.0,90
63,38.44,18.14,18,0.0,1236.0,90
64,27.31,91.36,18,472.48,832.48,90
65,14.48,45.81,18,25.86,171.41,90
66,55.76,19.45,10,260.04,440.04,90
67,34.62,52.23,18,0.0,1236.0,90
68,34.59,49.73,27,81.06,135.68,90
69,56.07,82.48,10,433.39,498.93,90
70,23.22,47.14,18,0.0,1236.0,90
71,57.21,81.64,27,0.0,1236.0,90
72,56.34,14.78,10,0.0,1236.0,90
73,81.76,17.95,10,271.44,516.19,90
74,52.98,10.59,27,0.0,1236.0,90
75,26.98,50.69,27,322.57,502.57,90
76,56.64,84.31,10,151.33,251.25,90
77,24.66,16.62,27,0.0,1236.0,90
78,51.06,49.94,10,0.0,1236.0,90
79,90.51,14.32,10,0.0,1236.0,90
80,89.31,53.02,10,298.16,478.16,90
81,31.53,23.16,10,0.0,1236.0,90
82,96.39,21.33,18,118.2,298.2,90
83,23.24,51.29,27,0.0,1236.0,90
84,24.63,60.46,18,218.05,264.61,90
85,52.5,79.21,18,50.49,105.05,90
86,23.73,84.8,18,38.42,75.13,90
87,86.22,87.36,18,631.41,701.83,90
88,50.12,50.7,10,429.44,609.44,90
89,85.1,20.92,10,0.0,1236.0,90
90,84.83,55.09,10,135.44,296.32,90
91,56.0,4.63,36,0.0,1236.0,90
92,54.27,48.35,10,0.0,1236.0,90
93,48.33,13.2,18,0.0,1236.0,90
94,26.77,46.35,36,105.01,164.95,90
95,81.76,49.52,36,0.0,1236.0,90
96,46.02,84.99,36,54.73,414.73,90
97,78.0,42.4,10,0.0,1236.0,90
98,90.87,13.67,18,0.0,1236.0,90
99,54.38,9.81,10,304.69,484.69,90
100,58.14,81.12,27,0.0,1236.0,90
