CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,230.0,0
1,26.87,13.47,36,65.31,185.31,10
2,58.84,54.89,36,0.0,230.0,10
3,34.94,15.63,6,0.0,230.0,10
4,98.31,17.15,63,0.0,230.0,10
5,80.03,99.15,48,0.0,230.0,10
6,99.33,25.7,31,88.87,165.89,10
7,81.36,57.89,33,0.0,230.0,10
8,28.28,89.98,25,0.0,230.0,10
9,72.11,9.63,4,85.64,115.64,10
10,50.55,89.96,4,71.15,131.15,10
11,88.06,56.95,34,0.0,230.0,10
12,83.08,12.04,55,0.0,230.0,10
13,58.08,38.59,58,100.3,190.3,10
14,49.84,82.53,30,92.83,196.01,10
15,97.37,9.53,10,78.25,88.25,10
16,0.94,56.39,9,0.0,230.0,10
17,82.9,95.86,61,142.47,152.47,10
18,81.04,31.85,1,84.81,174.81,10
19,61.74,5.7,13,0.0,230.0,10
20,86.83,88.44,48,0.0,230.0,10
21,20.24,54.09,42,72.68,102.68,10
22,65.07,18.63,52,0.0,230.0,10
23,43.18,38.76,30,0.0,230.0,10
24,43.48,61.7,18,189.68,199.68,10
25,75.49,70.72,12,153.11,163.11,10
26,2.37,31.87,61,71.3,81.3,10
27,83.27,58.55,70,129.42,185.89,10
28,13.81,86.17,67,104.13,185.34,10
29,75.89,70.76,33,0.0,230.0,10
30,59.46,94.68,37,123.98,153.98,10
31,69.94,48.6,4,128.99,158.99,10
32,30.44,56.43,55,65.58,125.58,10
33,49.97,44.7,42,0.0,230.0,10
34,43.74,17.05,34,0.0,230.0,10
35,67.15,66.62,71,0.0,230.0,10
36,3.59,59.47,16,152.66,182.66,10
37,6.42,26.65,27,130.3,189.1,10
38,65.81,26.32,9,155.12,185.12,10
39,85.83,45.46,67,126.37,156.37,10
40,73.33,87.4,49,0.0,230.0,10
41,26.16,68.94,52,0.0,230.0,10
42,97.02,3.53,42,0.0,230.0,10
43,16.44,61.1,37,0.0,230.0,10
44,56.29,26.4,15,94.62,104.62,10
45,52.14,68.4,67,0.0,230.0,10
46,93.9,11.21,10,113.63,163.59,10
47,18.28,3.43,27,0.0,230.0,10
48,38.95,71.72,71,0.0,230.0,10
49,21.13,26.54,70,111.32,199.89,10
50,74.57,38.37,69,0.0,230.0,10
51,43.13,21.13,4,66.17,156.17,10
52,71.32,73.41,30,39.1,95.68,10
53,27.98,0.33,52,51.1,72.29,10
54,31.9,28.6,28,0.0,230.0,10
55,11.94,88.9,10,0.0,230.0,10
56,10.57,5.96,9,0.0,230.0,10
57,31.04,61.18,71,44.03,54.03,10
58,10.88,17.66,25,100.14,186.48,10
59,29.98,76.14,6,0.0,230.0,10
60,25.75,5.76,57,0.0,230.0,10
61,31.07,15.8,18,78.17,108.17,10
62,88.16,77.8,42,0.0,230.0,10
63,61.61,55.47,34,131.29,191.29,10
64,40.14,85.67,46,0.0,230.0,10
65,65.5,89.9,31,0.0,230.0,10
66,61.87,89.52,52,56.36,176.36,10
67,60.26,16.58,10,0.0,230.0,10
68,72.03,53.43,74,0.0,230.0,10
69,65.34,94.16,27,0.0,230.0,10
70,91.54,4.17,48,79.7,109.7,10
71,35.51,90.26,19,94.05,104.05,10
72,88.07,91.82,51,0.0,230.0,10
73,19.11,26.47,39,134.79,144.79,10
74,30.87,87.51,13,0.0,230.0,10
75,88.5,21.83,63,107.43,167.43,10
76,65.41,0.48,70,0.0,230.0,10
77,41.56,85.18,74,0.0,230.0,10
78,5.01,49.03,69,115.6,145.6,10
79,88.8,81.42,40,60.15,70.15,10
80,11.93,24.06,22,0.0,230.0,10
81,87.59,98.66,10,94.21,154.21,10
82,51.54,19.3,52,57.38,117.38,10
83,42.57,48.99,15,0.0,230.0,10
84,96.72,47.65,30,116.99,173.23,10
85,78.63,81.34,33,102.16,162.16,10
86,57.06,31.59,21,171.06,201.06,10
87,43.56,93.26,19,0.0,230.0,10
88,46.14,94.4,10,0.0,230.0,10
89,84.83,40.9,28,128.58,184.26,10
90,96.74,85.1,34,102.74,132.74,10
91,72.92,27.63,34,0.0,230.0,10
92,45.55,10.9,45,78.67,168.67,10
93,96.81,33.93,10,59.04,130.38,10
94,78.69,66.16,49,0.0,230.0,10
95,82.63,55.13,69,117.3,177.3,10
96,81.47,35.46,19,0.0,230.0,10
97,79.91,1.06,66,0.0,230.0,10
98,87.46,70.64,74,0.0,230.0,10
99,98.98,15.66,22,68.25,106.92,10
100,26.21,13.91,60,67.99,77.99,10
