CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,240.0,0
1,55.61,35.05,22,99.05,129.05,10
2,83.93,75.21,15,141.52,171.52,10
3,45.54,45.63,17,123.88,232.94,10
4,14.3,58.31,12,175.93,205.93,10
5,22.27,17.02,62,111.51,141.51,10
6,37.25,14.67,4,97.93,157.93,10
7,60.99,62.73,30,24.55,71.97,10
8,63.73,89.53,61,150.02,193.89,10
9,96.78,37.12,42,99.92,181.78,10
10,6.95,69.72,43,135.42,201.51,10
11,62.26,2.05,23,52.87,107.99,10
12,26.48,91.03,13,80.16,170.16,10
13,27.23,43.63,48,14.27,73.81,10
14,42.31,29.83,43,50.1,170.1,10
15,16.36,95.5,7,51.27,66.76,10
16,2.46,8.22,62,77.83,167.83,10
17,84.35,27.49,4,128.71,188.71,10
18,28.68,5.7,50,45.72,117.45,10
19,36.05,4.32,12,73.97,193.97,10
20,52.24,21.32,23,131.0,191.0,10
21,92.54,31.49,62,111.6,171.6,10
22,68.7,25.46,42,37.76,132.26,10
23,25.18,94.86,38,112.2,192.76,10
24,81.94,45.5,61,42.18,109.51,10
25,81.44,48.18,23,89.39,149.39,10
26,22.25,34.12,30,123.86,183.86,10
27,28.62,83.47,17,35.35,100.38,10
28,65.02,99.59,47,71.38,131.38,10
29,0.17,55.7,43,43.28,103.28,10
30,97.46,13.82,39,67.9,154.38,10
31,94.77,34.14,39,57.02,103.24,10
32,68.88,4.71,46,105.53,186.29,10
33,39.9,66.37,36,64.68,124.68,10
34,11.36,12.83,39,108.47,193.08,10
35,91.96,90.55,59,65.91,114.98,10
36,45.83,66.72,16,17.71,53.66,10
37,96.4,38.69,17,60.92,120.92,10
38,15.98,61.25,67,146.5,213.48,10
39,36.7,47.8,43,22.55,112.55,10
40,9.27,70.54,65,86.13,116.13,10
41,65.3,87.93,46,145.83,194.41,10
42,39.08,97.99,39,48.0,126.91,10
43,15.74,13.41,61,67.85,127.85,10
44,26.53,79.65,44,32.57,47.76,10
45,47.89,92.46,27,118.91,178.91,10
46,6.02,7.28,26,57.33,87.33,10
47,88.18,83.39,34,113.5,173.5,10
48,28.25,67.2,58,110.37,219.17,10
49,76.07,48.37,8,168.84,198.84,10
50,37.96,69.12,54,128.68,218.68,10
51,81.33,19.94,27,51.11,107.16,10
52,47.27,44.01,5,109.93,169.93,10
53,49.71,87.73,7,121.59,201.04,10
54,79.35,83.92,51,120.63,188.05,10
55,90.15,19.99,42,78.63,168.63,10
56,52.17,50.84,51,67.97,187.97,10
57,84.17,85.7,28,56.79,173.75,10
58,77.75,52.37,61,37.82,95.09,10
59,94.01,53.56,8,137.12,185.87,10
60,23.19,17.94,7,143.18,173.18,10
61,88.09,48.53,19,98.94,191.89,10
62,80.34,48.26,27,134.09,164.09,10
63,68.77,87.38,26,158.07,188.07,10
64,27.19,81.21,28,146.94,176.94,10
65,20.39,85.99,47,40.99,153.97,10
66,52.17,54.43,32,107.55,167.55,10
67,29.77,84.22,62,91.6,151.6,10
68,85.9,81.47,50,61.23,121.23,10
69,84.88,17.22,20,113.6,143.6,10
70,84.44,88.62,36,58.88,140.6,10
71,77.36,16.98,38,54.85,114.85,10
72,78.84,18.49,44,50.01,157.8,10
73,85.29,55.23,56,103.61,193.61,10
74,29.8,84.03,58,158.65,188.65,10
75,54.72,14.78,59,108.92,138.92,10
76,58.51,52.83,20,123.75,153.75,10
77,29.86,14.8,56,156.19,203.37,10
78,81.53,90.39,38,114.83,144.83,10
79,79.5,16.37,44,105.49,165.49,10
80,56.54,83.74,30,116.73,202.42,10
81,91.77,85.35,39,74.04,164.04,10
82,81.04,10.55,26,83.37,173.37,10
83,79.55,82.54,5,107.42,188.78,10
84,52.74,14.96,42,61.7,181.7,10
85,33.74,10.57,54,43.46,133.46,10
86,21.9,55.2,52,119.89,221.17,10
87,58.02,87.76,61,41.84,150.95,10
88,83.15,16.81,47,54.44,106.76,10
89,25.89,12.92,13,39.67,125.0,10
90,78.39,85.31,66,75.59,165.59,10
91,54.51,19.85,28,40.88,70.88,10
92,29.06,19.84,50,41.24,71.24,10
93,18.33,74.85,19,140.91,170.91,10
94,79.57,47.68,16,47.1,107.1,10
95,18.24,87.94,8,50.32,140.32,10
96,48.21,17.05,35,91.18,206.04,10
97,27.02,23.43,13,124.4,210.43,10
98,78.36,49.27,28,73.22,103.22,10
99,85.24,14.51,15,79.6,169.6,10
100,55.85,22.18,4,116.42,206.42,10
