CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,35,35,0,0.0,230.0,0
1,4,35,6,207.0,230.0,10
2,58,38,9,83.0,120.0,10
3,60,16,3,193.0,230.0,10
4,41,42,3,0.0,57.0,10
5,79,98,4,200.0,230.0,10
6,86,40,9,38.0,68.0,10
7,18,20,7,78.0,120.0,10
8,88,59,1,175.0,230.0,10
9,99,45,4,136.0,183.0,10
10,64,77,2,192.0,230.0,10
11,14,63,4,174.0,205.0,10
12,38,60,4,210.0,230.0,10
13,64,50,1,174.0,230.0,10
14,30,10,2,168.0,205.0,10
15,88,31,9,37.0,86.0,10
16,51,33,10,204.0,230.0,10
17,43,66,5,180.0,218.0,10
18,38,58,5,205.0,230.0,10
19,20,92,1,30.0,72.0,10
20,90,99,3,188.0,230.0,10
21,35,3,4,94.0,145.0,10
22,41,96,6,53.0,88.0,10
23,45,42,4,126.0,155.0,10
24,5,68,3,209.0,230.0,10
25,46,98,3,170.0,230.0,10
26,70,4,3,182.0,230.0,10
27,68,98,9,61.0,114.0,10
28,31,94,5,133.0,181.0,10
29,98,40,9,171.0,230.0,10
30,97,27,7,198.0,230.0,10
31,95,74,8,62.0,94.0,10
32,85,95,3,73.0,95.0,10
33,76,23,6,163.0,216.0,10
34,55,84,2,121.0,178.0,10
35,77,90,8,87.0,134.0,10
36,51,57,4,184.0,230.0,10
37,23,15,9,117.0,160.0,10
38,44,47,5,151.0,205.0,10
39,8,25,3,0.0,57.0,10
40,30,21,7,148.0,177.0,10
41,71,13,5,18.0,69.0,10
42,77,96,9,172.0,230.0,10
43,76,91,10,199.0,230.0,10
44,69,17,9,106.0,130.0,10
45,53,93,5,142.0,171.0,10
46,21,82,10,56.0,97.0,10
47,96,31,4,58.0,80.0,10
48,41,30,8,181.0,230.0,10
49,34,20,8,1.0,44.0,10
50,92,45,9,145.0,205.0,10
51,35,32,7,42.0,75.0,10
52,11,15,4,45.0,102.0,10
53,91,1,4,55.0,109.0,10
54,93,62,6,175.0,230.0,10
55,34,21,1,189.0,209.0,10
56,36,78,7,130.0,158.0,10
57,27,68,2,189.0,230.0,10
58,27,92,1,166.0,200.0,10
59,71,4,5,175.0,230.0,10
60,20,76,7,76.0,125.0,10
61,49,28,4,131.0,174.0,10
62,80,77,9,210.0,230.0,10
63,9,88,10,126.0,172.0,10
64,74,30,2,207.0,230.0,10
65,93,82,6,196.0,230.0,10
66,5,46,10,186.0,230.0,10
67,65,87,5,57.0,88.0,10
68,14,92,4,92.0,152.0,10
69,42,47,1,5.0,40.0,10
70,60,58,4,170.0,230.0,10
71,80,71,8,181.0,227.0,10
72,0,44,8,197.0,230.0,10
73,31,21,7,128.0,188.0,10
74,48,53,9,200.0,230.0,10
75,92,52,1,170.0,218.0,10
76,64,95,3,87.0,130.0,10
77,71,68,10,191.0,230.0,10
78,37,59,1,98.0,137.0,10
79,35,20,8,60.0,98.0,10
80,23,24,3,81.0,130.0,10
81,79,39,9,29.0,59.0,10
82,89,53,4,190.0,230.0,10
83,82,8,3,79.0,113.0,10
84,38,21,10,135.0,167.0,10
85,41,6,10,121.0,152.0,10
86,57,19,3,170.0,230.0,10
87,84,91,7,191.0,230.0,10
88,55,41,9,206.0,230.0,10
89,45,95,2,180.0,230.0,10
90,52,34,3,115.0,137.0,10
91,3,87,4,141.0,180.0,10
92,82,95,5,70.0,118.0,10
93,89,69,2,192.0,230.0,10
94,4,13,1,37.0,81.0,10
95,57,35,4,112.0,170.0,10
96,63,97,7,100.0,129.0,10
97,59,59,1,205.0,230.0,10
98,34,10,6,12.0,52.0,10
99,13,16,9,67.0,92.0,10
100,80,37,7,156.0,183.0,10
