CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,1236.0,0
1,80.12,78.12,70,349.61,479.03,90
2,79.76,86.72,53,0.0,1236.0,90
3,49.42,47.07,18,72.81,121.63,90
4,59.76,52.93,35,19.98,302.68,90
5,93.56,79.48,70,135.35,495.35,90
6,58.05,44.98,35,217.03,361.59,90
7,84.5,81.72,35,647.94,692.79,90
8,79.29,12.68,18,576.1,645.88,90
9,53.78,8.88,70,304.68,378.17,90
10,87.33,91.39,18,0.0,1236.0,90
11,79.51,19.6,18,303.52,483.52,90
12,61.22,80.91,18,37.49,74.78,90
13,20.17,85.9,35,293.91,473.91,90
14,86.01,14.07,18,570.56,750.56,90
15,21.59,91.03,53,111.97,471.97,90
16,18.05,81.07,70,387.13,747.13,90
17,45.68,83.98,53,0.0,1236.0,90
18,76.76,49.89,18,48.23,109.66,90
19,89.23,79.74,70,544.6,739.45,90
20,84.04,76.8,53,368.58,435.19,90
21,90.13,14.07,18,0.0,1236.0,90
22,84.09,13.91,70,56.98,390.72,90
23,54.97,76.55,53,239.34,440.33,90
24,34.24,12.96,70,290.31,345.0,90
25,23.05,94.89,70,599.12,691.03,90
26,82.93,89.46,18,58.31,257.72,90
27,20.96,84.06,18,559.86,620.94,90
28,26.68,48.86,18,236.92,344.27,90
29,84.62,54.33,70,0.0,1236.0,90
30,62.63,89.18,35,504.87,572.72,90
31,88.09,27.19,53,382.08,505.43,90
32,25.11,49.5,53,277.66,338.89,90
33,24.03,18.6,70,35.23,224.74,90
34,21.12,13.34,18,41.24,330.46,90
35,54.29,80.02,35,41.09,94.01,90
36,58.14,92.21,70,411.12,509.68,90
37,64.2,52.98,70,500.91,741.48,90
38,57.07,12.35,35,133.43,408.88,90
39,83.5,85.14,70,104.77,239.73,90
40,81.08,52.97,70,207.39,416.59,90
41,28.57,85.59,70,0.0,1236.0,90
42,21.92,20.51,35,0.0,1236.0,90
43,52.46,78.13,35,125.81,236.61,90
44,32.68,54.14,70,185.92,239.63,90
45,52.75,55.81,53,169.19,238.9,90
46,47.84,77.99,35,0.0,1236.0,90
47,17.61,84.87,53,639.98,679.44,90
48,61.5,9.18,70,472.37,586.94,90
49,45.56,57.38,18,543.43,594.65,90
50,80.03,17.22,18,460.67,585.72,90
51,20.63,3.79,18,337.64,403.46,90
52,89.18,14.69,70,0.0,1236.0,90
53,22.68,15.21,35,38.86,321.24,90
54,22.27,83.77,53,523.22,572.74,90
55,24.27,8.3,53,0.0,1236.0,90
56,51.42,13.92,35,50.02,103.58,90
57,26.05,16.6,53,0.0,1236.0,90
58,77.56,20.27,70,445.52,513.12,90
59,88.15,9.03,35,212.5,366.57,90
60,57.12,54.25,35,126.54,247.22,90
61,55.49,51.15,35,0.0,1236.0,90
62,84.95,87.29,53,0.0,1236.0,90
63,90.96,49.42,35,87.46,214.43,90
64,85.91,81.49,35,55.67,209.06,90
65,48.64,23.6,18,275.96,405.15,90
66,78.29,75.77,18,222.48,338.35,90
67,29.07,81.06,35,200.63,247.17,90
68,27.14,56.04,35,217.25,290.96,90
69,27.43,16.44,18,0.0,1236.0,90
70,27.19,11.43,70,274.09,335.66,90
71,54.59,87.64,18,407.47,661.95,90
72,86.51,46.89,70,429.28,559.61,90
73,91.94,54.12,70,52.1,206.17,90
74,48.66,16.35,53,175.87,449.67,90
75,12.95,88.19,70,417.34,652.99,90
76,56.54,51.55,53,351.97,472.08,90
77,82.32,50.13,18,0.0,1236.0,90
78,78.01,94.85,70,0.0,1236.0,90
79,23.64,7.99,70,54.0,170.56,90
80,26.13,89.53,53,0.0,1236.0,90
81,88.74,86.81,53,529.71,583.15,90
82,24.98,52.44,70,482.81,542.74,90
83,62.14,15.58,53,290.79,412.75,90
84,83.05,10.52,70,420.56,780.56,90
85,54.24,24.78,35,539.35,598.93,90
86,23.43,11.98,18,0.0,1236.0,90
87,90.67,53.72,53,0.0,1236.0,90
88,85.71,45.21,18,49.69,102.96,90
89,84.19,83.71,35,281.93,461.93,90
90,25.51,78.79,70,0.0,1236.0,90
91,24.24,18.94,53,368.27,728.27,90
92,80.05,84.79,70,0.0,1236.0,90
93,52.74,15.58,70,0.0,1236.0,90
94,20.14,57.03,35,213.24,269.8,90
95,80.61,87.72,70,55.43,106.64,90
96,32.08,90.74,35,41.5,226.91,90
97,22.83,81.07,53,584.75,661.38,90
98,86.81,23.98,35,0.0,1236.0,90
99,21.45,14.79,18,310.24,551.65,90
100,85.91,50.71,70,53.14,186.06,90
