CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,1000.0,0
1,92.69,43.79,36,434.91,674.91,10
2,11.75,68.98,22,0.0,1000.0,10
3,24.21,58.13,15,253.41,613.41,10
4,12.91,84.04,58,43.5,317.87,10
5,3.75,29.64,5,481.88,841.88,10
6,43.64,62.99,34,726.68,986.51,10
7,50.25,36.01,27,0.0,1000.0,10
8,28.46,74.97,14,0.0,1000.0,10
9,57.34,10.8,9,878.0,957.14,10
10,10.54,61.94,63,453.74,573.74,10
11,65.55,84.51,80,421.46,541.46,10
12,64.74,95.22,78,488.44,608.44,10
13,79.03,95.48,2,0.0,1000.0,10
14,79.88,89.15,31,55.89,459.43,10
15,29.93,72.47,32,499.84,739.84,10
16,31.43,85.05,10,790.45,963.92,10
17,22.56,88.0,65,343.55,463.55,10
18,11.89,15.38,24,61.94,421.94,10
19,68.32,29.04,34,169.06,289.06,10
20,89.32,48.82,3,663.98,783.98,10
21,30.9,10.41,36,0.0,1000.0,10
22,24.61,48.13,26,0.0,1000.0,10
23,49.47,10.62,34,0.0,1000.0,10
24,80.76,37.17,3,0.0,1000.0,10
25,0.72,16.52,39,131.52,611.52,10
26,83.22,88.73,2,787.55,941.97,10
27,7.66,30.6,14,776.97,962.29,10
28,70.54,51.61,10,585.92,945.92,10
29,57.89,34.29,43,0.0,1000.0,10
30,85.0,40.52,26,489.62,954.01,10
31,90.84,65.56,10,0.0,1000.0,10
32,32.61,17.68,78,0.0,1000.0,10
33,33.65,52.85,49,0.0,1000.0,10
34,9.11,18.57,22,0.0,1000.0,10
35,65.13,5.44,31,316.48,796.48,10
36,74.03,74.82,84,0.0,1000.0,10
37,6.27,13.4,24,63.54,543.54,10
38,16.53,61.27,48,26.04,328.75,10
39,21.47,77.9,51,690.58,930.58,10
40,14.66,82.31,17,357.68,477.68,10
41,15.75,50.9,78,37.48,517.48,10
42,4.25,49.2,2,412.12,772.12,10
43,66.86,19.01,51,0.0,1000.0,10
44,15.65,18.73,60,557.81,917.81,10
45,17.05,52.45,80,686.71,976.92,10
46,93.32,48.44,63,0.0,1000.0,10
47,77.73,94.42,58,179.85,299.85,10
48,41.08,41.0,70,445.23,685.23,10
49,24.02,32.07,56,253.82,373.82,10
50,57.23,49.81,38,725.25,965.25,10
51,32.01,14.22,38,92.44,212.44,10
52,19.51,49.09,75,0.0,1000.0,10
53,1.93,65.91,68,279.09,399.09,10
54,10.15,90.85,53,682.82,949.41,10
55,30.3,1.17,61,241.14,481.14,10
56,69.09,71.88,84,283.67,523.67,10
57,45.44,37.41,78,0.0,1000.0,10
58,17.69,82.17,43,39.15,421.92,10
59,74.08,16.05,39,48.1,349.37,10
60,43.02,22.74,44,0.0,1000.0,10
61,72.73,81.31,39,624.63,954.71,10
62,81.69,10.06,7,57.73,254.07,10
63,22.61,99.69,20,0.0,1000.0,10
64,53.56,49.02,34,13.6,97.79,10
65,50.38,65.09,72,653.03,893.03,10
66,30.19,49.2,3,0.0,1000.0,10
67,71.58,64.14,20,639.48,879.48,10
68,52.43,41.25,19,59.14,179.14,10
69,26.61,36.83,20,297.07,537.07,10
70,61.51,97.98,43,447.02,807.02,10
71,97.35,71.36,12,304.51,784.51,10
72,54.97,20.37,60,72.54,192.54,10
73,92.12,96.57,14,0.0,1000.0,10
74,19.66,18.05,20,37.88,360.52,10
75,65.52,2.97,72,641.96,881.96,10
76,83.26,74.21,26,113.77,353.77,10
77,39.73,79.77,82,668.95,788.95,10
78,52.28,45.27,84,369.71,609.71,10
79,89.12,75.53,49,573.58,693.58,10
80,23.83,88.08,85,467.79,827.79,10
81,34.15,34.63,41,16.45,418.81,10
82,68.09,3.65,24,287.39,767.39,10
83,23.75,71.37,73,673.75,973.15,10
84,82.75,94.44,29,0.0,1000.0,10
85,43.05,86.82,19,299.38,539.38,10
86,92.15,61.33,41,665.69,785.69,10
87,8.54,70.62,32,37.62,340.56,10
88,76.74,80.29,55,0.0,1000.0,10
89,13.88,87.61,55,45.79,393.87,10
90,12.5,55.32,17,595.93,971.99,10
91,30.22,6.31,2,99.04,339.04,10
92,68.78,72.79,10,0.0,1000.0,10
93,29.15,8.01,72,0.0,1000.0,10
94,87.88,33.69,63,205.22,565.22,10
95,85.37,22.19,43,555.86,915.86,10
96,54.41,6.42,41,0.0,1000.0,10
97,77.02,69.48,70,227.02,467.02,10
98,60.82,76.89,55,446.81,806.81,10
99,85.65,32.99,27,588.17,951.28,10
100,92.79,77.18,53,0.0,1000.0,10
