CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,240.0,0
1,36.28,31.06,45,112.55,220.7,10
2,56.7,96.45,2,49.36,101.77,10
3,67.93,51.85,36,99.54,189.54,10
4,39.96,6.99,51,47.1,167.1,10
5,96.85,65.35,32,58.89,146.75,10
6,43.57,68.01,33,126.79,216.79,10
7,84.01,35.58,43,46.31,145.77,10
8,96.17,59.27,58,56.93,124.66,10
9,24.99,59.69,10,79.93,139.93,10
10,59.32,61.46,15,103.56,133.56,10
11,56.69,62.34,17,76.03,106.03,10
12,52.12,62.0,51,73.21,133.21,10
13,51.33,31.03,28,99.38,129.38,10
14,40.02,13.15,80,153.64,203.15,10
15,11.3,20.39,83,61.16,121.16,10
16,76.42,68.32,43,87.68,117.68,10
17,94.59,78.84,73,131.52,178.26,10
18,17.03,20.27,33,80.14,110.14,10
19,25.45,93.88,23,127.94,187.94,10
20,39.22,28.47,40,154.92,214.92,10
21,5.44,0.35,15,60.49,108.46,10
22,52.3,94.99,68,82.89,112.89,10
23,54.64,98.98,15,84.28,174.28,10
24,43.1,10.51,40,68.14,98.14,10
25,59.86,11.28,7,43.52,96.99,10
26,4.4,86.04,22,102.22,162.22,10
27,80.29,55.57,58,94.91,184.91,10
28,58.41,2.39,7,132.68,188.95,10
29,5.63,36.74,2,95.32,203.16,10
30,21.44,60.45,66,66.69,156.69,10
31,19.15,40.72,65,22.82,74.23,10
32,60.54,87.65,30,42.89,88.2,10
33,37.3,31.62,3,24.8,144.8,10
34,24.79,54.29,73,123.09,153.09,10
35,9.67,47.07,27,105.82,135.82,10
36,65.6,18.62,73,40.5,129.15,10
37,50.94,30.11,58,117.73,147.73,10
38,34.89,96.46,46,126.66,156.66,10
39,27.41,91.58,7,103.31,193.31,10
40,90.05,24.41,30,56.21,83.13,10
41,82.83,8.23,3,65.41,155.41,10
42,92.62,79.43,25,68.71,158.71,10
43,86.28,29.09,50,50.78,165.85,10
44,89.13,82.1,35,58.69,164.77,10
45,85.72,85.27,56,69.58,159.58,10
46,29.44,36.16,28,71.41,161.41,10
47,40.62,30.69,55,19.32,78.71,10
48,90.51,61.03,32,109.85,188.3,10
49,39.73,43.39,2,188.82,233.38,10
50,74.34,32.76,2,38.42,60.81,10
51,55.15,8.32,63,89.58,119.58,10
52,17.6,10.22,63,112.53,194.35,10
53,27.38,19.7,40,77.69,137.69,10
54,87.39,85.43,65,69.86,99.86,10
55,21.48,47.3,45,193.21,221.28,10
56,87.9,14.5,15,59.62,119.24,10
57,82.07,86.56,15,55.74,121.39,10
58,83.36,97.47,38,64.29,83.12,10
59,54.27,79.53,15,110.78,200.78,10
60,57.54,18.05,40,37.93,127.93,10
61,46.48,52.94,61,7.12,38.21,10
62,89.26,46.63,51,63.35,183.35,10
63,89.82,20.1,80,58.1,127.59,10
64,26.42,52.65,28,13.84,85.66,10
65,82.75,18.29,53,63.53,123.53,10
66,28.03,78.43,20,30.85,97.17,10
67,84.83,16.95,80,76.17,166.17,10
68,19.87,84.73,22,154.1,184.1,10
69,56.61,82.81,32,45.31,135.31,10
70,53.61,25.26,22,41.55,161.55,10
71,26.46,88.55,22,44.13,104.13,10
72,53.14,52.38,38,55.42,145.42,10
73,80.21,19.0,2,50.77,97.4,10
74,90.96,18.46,71,59.93,123.64,10
75,20.04,87.49,35,42.47,121.91,10
76,84.54,45.42,80,118.86,148.86,10
77,50.77,51.67,80,94.41,124.41,10
78,87.34,54.49,63,79.58,169.58,10
79,26.63,4.42,10,47.5,120.27,10
80,21.84,21.01,51,44.28,134.28,10
81,57.19,76.78,80,31.82,107.34,10
82,53.02,23.18,5,29.81,85.61,10
83,81.59,92.03,40,134.24,180.87,10
84,55.25,13.72,60,107.19,200.65,10
85,85.79,15.64,12,107.4,182.75,10
86,50.64,21.11,2,138.41,198.41,10
87,28.57,25.26,25,74.58,134.58,10
88,50.57,9.05,7,42.29,109.59,10
89,54.91,51.39,27,181.97,225.03,10
90,89.14,50.38,15,105.0,135.0,10
91,81.2,47.28,5,51.32,141.32,10
92,17.44,12.16,40,44.86,104.86,10
93,82.26,23.91,13,49.66,136.06,10
94,58.25,77.25,28,47.93,167.93,10
95,58.86,48.22,80,144.6,204.6,10
96,19.03,13.76,48,57.75,87.75,10
97,57.62,5.15,55,149.05,191.81,10
98,86.33,45.25,43,76.36,193.43,10
99,87.22,15.86,18,58.27,77.77,10
100,22.78,82.99,3,37.21,93.58,10
