CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,960.0,0
1,30.43,90.69,19,41.8,332.83,10
2,9.73,34.25,42,436.12,916.12,10
3,81.22,99.3,40,0.0,960.0,10
4,25.9,68.0,25,0.0,960.0,10
5,20.28,95.39,24,337.23,817.23,10
6,65.69,3.16,38,0.0,960.0,10
7,82.17,61.09,6,657.77,777.77,10
8,55.81,37.81,26,472.13,712.13,10
9,24.53,72.97,44,27.69,293.02,10
10,44.02,91.28,21,342.51,702.51,10
11,52.31,39.73,16,483.07,943.97,10
12,79.95,82.69,40,51.62,150.25,10
13,73.02,88.06,6,516.33,636.33,10
14,85.05,87.22,28,0.0,960.0,10
15,19.26,87.91,39,831.53,916.79,10
16,56.94,22.68,4,32.15,222.64,10
17,83.7,44.32,4,81.11,561.11,10
18,89.3,36.39,26,651.73,908.86,10
19,10.56,1.12,30,146.69,626.69,10
20,32.82,88.92,29,361.79,601.79,10
21,54.4,52.79,39,14.67,105.37,10
22,56.04,31.71,25,419.51,539.51,10
23,36.42,73.12,34,418.06,898.06,10
24,90.35,40.24,36,86.58,446.58,10
25,97.74,89.76,1,0.0,960.0,10
26,44.23,36.5,6,0.0,960.0,10
27,18.2,1.07,40,53.57,262.68,10
28,64.67,60.4,13,26.77,127.0,10
29,72.74,57.46,34,377.12,617.12,10
30,52.83,38.78,36,0.0,960.0,10
31,73.45,55.82,2,235.24,715.24,10
32,94.65,61.59,4,55.87,356.35,10
33,44.83,86.91,16,667.1,907.1,10
34,74.73,74.57,29,42.54,124.7,10
35,73.47,64.37,17,0.0,960.0,10
36,2.17,71.33,22,179.92,419.92,10
37,13.61,74.97,29,830.45,923.67,10
38,76.5,29.77,25,0.0,960.0,10
39,63.31,63.48,29,229.67,709.67,10
40,55.78,72.58,22,0.0,960.0,10
41,66.02,70.2,2,0.0,960.0,10
42,61.71,0.83,8,53.75,498.11,10
43,4.05,30.27,36,331.39,811.39,10
44,19.72,89.94,11,453.36,573.36,10
45,7.39,26.98,29,0.0,960.0,10
46,50.55,67.61,40,618.74,738.74,10
47,82.21,30.53,27,96.55,336.55,10
48,81.19,34.36,27,358.08,598.08,10
49,53.49,68.44,40,590.07,710.07,10
50,47.14,30.69,6,830.57,939.41,10
51,97.75,4.94,25,662.38,886.75,10
52,17.81,89.57,19,0.0,960.0,10
53,87.81,81.55,44,57.28,118.24,10
54,83.2,48.8,28,0.0,960.0,10
55,81.21,53.57,12,234.98,714.98,10
56,27.71,80.75,12,33.12,278.69,10
57,84.03,51.04,4,44.04,462.43,10
58,27.55,83.62,1,629.66,749.66,10
59,87.29,7.47,2,0.0,960.0,10
60,48.98,84.39,3,35.54,137.08,10
61,84.17,52.68,43,0.0,960.0,10
62,21.87,88.12,29,128.52,608.52,10
63,56.81,43.72,3,287.17,647.17,10
64,53.86,9.73,31,0.0,960.0,10
65,20.56,11.6,22,301.91,421.91,10
66,88.44,44.5,40,306.29,786.29,10
67,82.83,49.55,10,0.0,960.0,10
68,86.54,81.86,24,0.0,960.0,10
69,50.78,47.22,18,233.27,473.27,10
70,22.02,49.67,21,526.61,766.61,10
71,79.24,11.06,6,129.95,609.95,10
72,84.14,15.72,6,326.38,446.38,10
73,48.09,15.74,11,643.55,924.8,10
74,27.23,61.59,6,468.49,942.75,10
75,56.67,50.13,12,0.0,960.0,10
76,62.18,83.51,13,241.13,361.13,10
77,31.05,22.42,21,0.0,960.0,10
78,23.01,56.18,23,715.37,941.92,10
79,52.8,75.44,20,36.76,516.76,10
80,28.15,47.04,40,12.21,94.36,10
81,83.81,17.64,39,468.33,905.53,10
82,33.82,82.22,41,0.0,960.0,10
83,58.39,15.29,24,43.09,523.09,10
84,49.65,17.19,6,627.24,747.24,10
85,90.13,10.17,13,0.0,960.0,10
86,56.14,76.09,12,264.98,504.98,10
87,53.75,11.61,17,355.28,595.28,10
88,56.74,15.87,42,52.78,292.78,10
89,53.99,55.8,16,478.38,598.38,10
90,52.52,56.27,8,14.0,223.61,10
91,81.9,44.97,37,431.49,551.49,10
92,86.72,90.88,33,122.86,242.86,10
93,82.23,17.89,18,760.73,906.95,10
94,50.01,73.32,13,0.0,960.0,10
95,15.66,92.13,44,223.51,703.51,10
96,25.79,6.59,30,307.41,547.41,10
97,88.06,18.87,20,650.14,770.14,10
98,53.84,15.08,16,786.59,906.59,10
99,60.57,82.05,2,243.97,603.97,10
100,92.32,45.79,1,0.0,960.0,10
