CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,3390.0,0
1,93.9,16.89,36,1245.62,1405.62,90
2,90.42,89.03,36,503.02,823.02,90
3,97.79,17.02,12,1064.26,1384.26,90
4,87.95,86.77,12,335.41,975.41,90
5,54.64,53.7,36,0.0,3390.0,90
6,55.23,56.92,12,0.0,3390.0,90
7,21.76,18.06,48,1157.47,1797.47,90
8,88.69,57.72,36,1186.45,1826.45,90
9,13.83,47.72,36,134.36,294.36,90
10,53.95,50.09,48,1380.16,2020.16,90
11,56.45,80.82,24,1764.26,1924.26,90
12,51.72,19.18,12,0.0,3390.0,90
13,19.99,8.72,48,1068.5,1228.5,90
14,74.77,12.75,12,1125.83,1285.83,90
15,92.0,83.64,12,555.88,1266.23,90
16,25.79,43.09,36,1542.8,1702.8,90
17,19.15,79.82,24,507.38,1078.12,90
18,94.69,17.03,48,458.73,618.73,90
19,66.17,81.34,36,40.83,705.9,90
20,64.36,53.97,48,0.0,3390.0,90
21,84.87,73.74,12,1592.52,1853.87,90
22,86.14,84.4,36,1235.34,1797.8,90
23,33.16,52.35,12,563.89,1203.89,90
24,27.99,92.66,12,145.45,785.45,90
25,57.11,48.28,48,0.0,3390.0,90
26,77.21,46.26,48,1814.84,1974.84,90
27,22.62,56.87,24,18.69,116.78,90
28,20.6,80.7,24,0.0,3390.0,90
29,88.32,9.09,12,659.0,819.0,90
30,89.21,14.68,12,821.9,981.9,90
31,91.45,87.44,48,658.0,1298.0,90
32,56.46,52.7,24,263.59,423.59,90
33,20.73,12.49,36,1226.64,1602.05,90
34,55.43,86.96,24,167.52,327.52,90
35,82.83,88.65,48,0.0,3390.0,90
36,23.45,42.47,36,917.34,1237.34,90
37,28.41,18.48,12,357.83,677.83,90
38,76.68,80.9,24,1540.95,2180.95,90
39,30.38,90.89,24,0.0,3390.0,90
40,83.7,52.86,36,43.79,657.64,90
41,20.03,12.06,48,1641.56,1961.56,90
42,84.08,52.61,36,456.84,1096.84,90
43,87.55,51.54,12,1367.81,1527.81,90
44,77.05,11.32,36,457.05,617.05,90
45,28.44,42.29,48,0.0,3390.0,90
46,76.46,20.98,12,1570.4,2210.4,90
47,31.29,49.52,36,502.14,1142.14,90
48,56.08,48.38,36,1705.08,1865.08,90
49,83.64,84.64,36,423.32,638.46,90
50,22.57,50.29,12,0.0,3390.0,90
51,32.96,94.1,36,1130.84,1390.25,90
52,87.85,81.52,12,531.8,1097.38,90
53,49.19,13.06,24,0.0,3390.0,90
54,86.03,14.41,36,0.0,3390.0,90
55,50.6,21.17,36,940.17,1441.27,90
56,80.93,45.53,12,1429.5,1589.5,90
57,17.09,8.17,24,772.02,1412.02,90
58,56.24,11.9,36,309.1,809.49,90
59,54.73,57.94,36,1225.85,1545.85,90
60,17.4,24.6,48,579.58,1018.64,90
61,49.8,94.48,48,1226.11,1386.11,90
62,93.89,10.29,48,1713.83,2033.83,90
63,30.83,91.43,24,232.59,392.59,90
64,48.42,54.67,12,285.58,445.58,90
65,33.11,6.12,36,1248.02,1568.02,90
66,44.97,20.81,48,1614.35,1774.35,90
67,83.42,13.82,24,0.0,3390.0,90
68,33.54,9.74,48,1211.45,1371.45,90
69,75.42,52.39,36,0.0,3390.0,90
70,19.34,41.21,48,1240.98,1400.98,90
71,38.84,42.85,48,0.0,3390.0,90
72,89.49,87.5,48,865.37,1505.37,90
73,89.75,82.41,48,1606.05,1766.05,90
74,58.5,87.54,36,946.37,1586.37,90
75,56.9,85.02,12,836.05,996.05,90
76,22.01,87.92,36,1813.15,1973.15,90
77,54.18,16.38,48,805.12,965.12,90
78,87.11,85.92,36,0.0,3390.0,90
79,74.04,48.26,48,1725.55,1885.55,90
80,90.3,90.01,48,519.92,679.92,90
81,90.75,44.24,36,171.8,331.8,90
82,51.67,9.58,24,1367.89,1527.89,90
83,51.31,45.55,48,0.0,3390.0,90
84,56.07,87.25,48,0.0,3390.0,90
85,58.21,50.48,24,216.45,1351.21,90
86,62.55,82.02,12,1510.39,1830.39,90
87,23.73,20.68,48,1136.47,1456.47,90
88,26.47,79.14,36,828.84,988.84,90
89,89.06,50.47,36,1511.92,1671.92,90
90,34.51,50.43,12,897.71,1537.71,90
91,53.67,87.26,48,0.0,3390.0,90
92,27.47,89.49,48,0.0,3390.0,90
93,84.33,86.47,24,989.27,1680.14,90
94,34.52,86.39,12,36.8,138.51,90
95,52.57,12.01,36,0.0,3390.0,90
96,18.68,8.52,48,845.53,1005.53,90
97,58.09,53.18,48,0.0,3390.0,90
98,25.63,83.07,48,1106.22,1746.22,90
99,31.82,52.44,48,211.53,851.53,90
100,23.65,15.45,48,0.0,3390.0,90
