CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,230.0,0
1,89.73,21.92,76,86.52,172.89,10
2,11.19,38.09,2,96.63,126.63,10
3,3.02,0.18,25,62.04,90.44,10
4,10.02,11.08,8,96.41,156.41,10
5,13.27,70.73,48,0.0,230.0,10
6,32.09,79.44,16,101.86,191.86,10
7,78.03,77.08,6,61.81,91.81,10
8,45.9,31.78,8,110.93,170.93,10
9,22.34,12.91,63,0.0,230.0,10
10,59.15,47.9,14,37.95,47.95,10
11,81.72,45.2,17,123.25,133.25,10
12,1.23,39.54,52,46.62,136.62,10
13,0.21,94.17,6,70.66,170.55,10
14,93.14,90.22,67,66.64,156.22,10
15,44.96,66.64,74,0.0,230.0,10
16,26.6,61.5,30,134.31,212.34,10
17,90.67,21.2,70,0.0,230.0,10
18,7.14,99.4,59,59.33,68.87,10
19,76.37,3.54,2,61.78,121.78,10
20,60.53,65.13,43,175.05,204.5,10
21,44.86,9.58,17,0.0,230.0,10
22,64.8,52.18,71,24.9,61.14,10
23,44.64,14.81,55,108.73,138.73,10
24,7.96,23.16,22,0.0,230.0,10
25,76.48,67.64,43,60.21,70.21,10
26,5.84,86.28,54,49.83,102.01,10
27,29.97,90.61,78,0.0,230.0,10
28,66.17,27.79,55,149.2,159.2,10
29,99.82,29.46,46,78.34,88.34,10
30,85.18,94.05,67,71.14,166.9,10
31,21.09,98.91,24,0.0,230.0,10
32,72.31,83.67,10,0.0,230.0,10
33,62.59,37.02,70,161.07,203.95,10
34,30.71,43.85,59,143.29,153.29,10
35,19.19,63.5,41,24.81,125.34,10
36,26.96,29.72,27,0.0,230.0,10
37,68.26,37.24,2,141.62,198.99,10
38,47.23,58.22,10,10.95,83.82,10
39,78.39,87.55,55,93.49,176.3,10
40,90.38,11.08,6,0.0,230.0,10
41,3.75,72.43,43,133.17,163.17,10
42,66.4,0.09,71,0.0,230.0,10
43,89.65,11.42,38,138.89,167.12,10
44,45.72,73.18,8,0.0,230.0,10
45,98.06,60.41,17,100.46,171.01,10
46,76.7,30.89,22,75.58,165.58,10
47,15.03,57.11,44,31.84,91.84,10
48,1.0,70.96,44,130.45,185.72,10
49,83.43,5.87,14,66.98,168.08,10
50,20.42,89.25,73,43.86,74.69,10
51,11.04,2.48,57,0.0,230.0,10
52,0.47,65.31,2,130.4,187.61,10
53,41.17,72.71,11,0.0,230.0,10
54,16.03,46.83,48,141.06,151.06,10
55,58.92,35.38,74,23.91,104.53,10
56,74.63,30.69,16,0.0,230.0,10
57,21.14,12.33,46,102.96,187.87,10
58,9.5,9.12,49,113.61,179.0,10
59,9.17,36.39,40,0.0,230.0,10
60,49.35,63.64,40,0.0,230.0,10
61,76.5,2.23,63,60.12,131.79,10
62,13.6,4.39,40,0.0,230.0,10
63,30.2,93.29,51,44.39,107.72,10
64,99.56,28.71,43,87.75,166.75,10
65,71.11,32.81,17,35.54,116.27,10
66,16.68,99.16,71,54.41,147.47,10
67,75.04,6.55,59,55.82,109.28,10
68,1.77,42.03,6,96.88,190.95,10
69,5.51,12.29,29,135.2,178.9,10
70,4.73,87.9,38,156.52,166.52,10
71,75.27,95.42,49,57.51,160.46,10
72,76.07,42.74,11,89.33,99.33,10
73,1.74,88.45,73,116.21,126.21,10
74,32.95,7.35,48,0.0,230.0,10
75,1.59,33.48,70,0.0,230.0,10
76,6.01,53.07,65,0.0,230.0,10
77,7.76,95.33,76,76.12,166.12,10
78,31.35,92.87,74,116.01,186.27,10
79,27.9,49.03,49,185.8,195.8,10
80,52.8,19.43,60,127.64,157.64,10
81,83.65,15.24,55,126.13,156.13,10
82,78.13,4.85,13,59.1,128.88,10
83,69.67,64.09,8,85.21,145.21,10
84,67.13,27.77,11,0.0,230.0,10
85,47.12,17.28,5,157.66,167.66,10
86,23.1,76.75,19,0.0,230.0,10
87,80.13,47.74,35,120.84,180.84,10
88,70.87,22.07,62,59.47,89.47,10
89,84.78,90.66,13,71.72,131.72,10
90,36.43,30.32,76,0.0,230.0,10
91,88.87,48.06,2,60.56,70.56,10
92,24.36,50.27,30,0.0,230.0,10
93,3.48,33.37,60,104.46,164.46,10
94,38.48,88.13,40,146.18,156.18,10
95,90.71,93.23,33,72.72,132.72,10
96,60.46,86.74,14,100.72,160.72,10
97,9.44,61.38,52,98.76,108.76,10
98,4.22,70.62,3,0.0,230.0,10
99,28.65,71.32,46,40.24,70.24,10
100,14.56,4.06,17,0.0,230.0,10
