CUST_NO,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
0,40.0,50.0,0,0.0,240.0,0
1,41.54,29.73,7,105.03,195.03,10
2,80.07,46.91,10,40.19,61.51,10
3,62.7,67.15,43,28.45,101.98,10
4,13.88,4.14,43,0.0,240.0,10
5,46.45,50.22,34,7.69,127.69,10
6,59.05,64.65,12,0.0,240.0,10
7,98.0,84.41,28,106.27,136.27,10
8,29.25,24.92,38,69.35,189.35,10
9,66.67,63.58,36,68.8,128.8,10
10,74.74,0.01,24,0.0,240.0,10
11,51.7,41.76,13,107.92,167.92,10
12,27.86,15.99,4,0.0,240.0,10
13,82.19,77.28,31,0.0,240.0,10
14,10.97,33.62,40,120.2,206.67,10
15,66.82,96.74,18,112.79,186.11,10
16,97.6,45.59,22,0.0,240.0,10
17,54.89,80.74,37,0.0,240.0,10
18,30.8,5.73,34,149.42,179.42,10
19,27.65,49.55,38,65.85,155.85,10
20,22.67,52.19,2,147.65,222.53,10
21,54.57,3.46,42,108.9,138.9,10
22,67.93,52.36,33,41.29,131.29,10
23,31.4,89.99,41,0.0,240.0,10
24,85.23,88.58,21,103.35,180.55,10
25,72.95,73.13,39,131.69,191.69,10
26,5.74,69.66,1,139.05,200.5,10
27,32.51,25.3,44,0.0,240.0,10
28,20.38,73.42,19,0.0,240.0,10
29,72.89,74.83,21,0.0,240.0,10
30,44.93,87.18,41,37.51,95.84,10
31,38.44,20.69,23,108.38,168.38,10
32,65.48,72.04,40,33.69,143.57,10
33,49.85,78.58,22,30.23,68.69,10
34,67.11,79.91,27,92.14,182.14,10
35,39.88,43.05,10,161.2,221.2,10
36,40.8,48.0,4,140.63,200.63,10
37,40.53,28.59,9,0.0,240.0,10
38,77.27,40.26,45,97.04,157.04,10
39,37.46,37.37,1,27.68,147.68,10
40,52.82,83.58,19,83.25,143.25,10
41,35.72,23.46,44,74.37,164.37,10
42,85.08,47.3,31,0.0,240.0,10
43,35.59,70.54,14,129.05,189.05,10
44,94.07,70.77,35,71.42,131.42,10
45,51.98,52.05,34,29.39,149.39,10
46,97.29,93.59,39,0.0,240.0,10
47,85.81,78.41,39,144.33,174.33,10
48,15.13,76.12,21,134.81,203.93,10
49,3.07,94.53,19,81.18,182.15,10
50,2.39,70.92,10,77.16,196.96,10
51,85.81,17.17,26,155.17,183.64,10
52,26.73,11.48,15,112.88,172.88,10
53,83.42,81.71,5,0.0,240.0,10
54,84.9,50.0,15,80.72,140.72,10
55,87.69,86.59,11,0.0,240.0,10
56,86.21,8.03,48,0.0,240.0,10
57,27.21,53.72,38,137.75,226.68,10
58,30.78,25.93,21,25.78,127.58,10
59,50.51,91.06,21,0.0,240.0,10
60,27.08,53.08,34,13.28,111.02,10
61,53.08,86.57,44,38.84,120.01,10
62,86.2,44.92,19,127.97,193.52,10
63,60.33,20.39,52,73.07,163.07,10
64,54.4,2.5,27,0.0,240.0,10
65,54.39,90.66,25,0.0,240.0,10
66,91.7,53.47,24,91.88,151.88,10
67,50.12,50.75,19,0.0,240.0,10
68,21.39,16.61,20,146.21,201.77,10
69,80.09,13.77,49,58.03,178.03,10
70,54.22,57.69,38,57.31,147.31,10
71,79.05,52.72,36,0.0,240.0,10
72,82.51,51.8,19,77.17,197.17,10
73,31.22,50.3,21,0.0,240.0,10
74,85.14,17.41,20,0.0,240.0,10
75,25.39,16.13,46,70.23,130.23,10
76,76.53,19.81,26,105.84,135.84,10
77,55.15,46.82,13,0.0,240.0,10
78,85.22,89.47,34,0.0,240.0,10
79,20.9,86.87,1,81.77,141.77,10
80,48.98,23.35,20,32.39,92.39,10
81,31.69,8.71,52,0.0,240.0,10
82,80.34,23.83,9,77.1,167.1,10
83,24.35,85.3,49,38.61,98.5,10
84,30.63,20.27,33,0.0,240.0,10
85,24.03,57.46,36,30.88,150.88,10
86,53.69,17.94,43,58.3,148.3,10
87,79.85,52.4,6,52.7,112.7,10
88,28.26,82.02,32,99.43,159.43,10
89,85.81,54.34,14,46.02,102.5,10
90,82.12,55.31,30,125.33,155.33,10
91,48.81,15.27,30,35.83,55.89,10
92,90.05,81.38,48,88.54,180.93,10
93,23.46,11.4,20,84.49,114.49,10
94,54.99,15.1,5,37.98,59.22,10
95,78.85,71.91,50,132.58,195.4,10
96,25.52,18.55,3,39.64,69.64,10
97,45.69,47.79,23,6.1,67.51,10
98,87.85,80.71,48,0.0,240.0,10
99,27.2,83.02,31,149.34,179.34,10
100,50.96,50.51,12,145.79,175.79,10
