Instance,Distance,Vehicles,Veh Time (s),Dist Time (s),Total Time (s),Timestamp
C1_n100_d100_0001.csv,1797.4,14,80.12,150.04,230.18,2026-04-28 19:57:44
C1_n100_d100_0002.csv,2063.6,22,60.06,150.05,210.13,2026-04-28 20:01:14
C1_n100_d100_0003.csv,2156.4,21,60.06,150.04,210.13,2026-04-28 20:04:44
C1_n100_d100_0004.csv,2156,22,60.09,150.04,210.15,2026-04-28 20:08:14
C1_n100_d100_0005.csv,2249.3,22,60.09,150.04,210.15,2026-04-28 20:11:44
C1_n100_d100_0006.csv,2097.6,15,100.13,150.04,250.19,2026-04-28 20:15:54
C1_n100_d100_0007.csv,1846.9,14,100.14,150.04,250.21,2026-04-28 20:20:05
C1_n100_d100_0008.csv,2120,15,80.11,150.05,230.18,2026-04-28 20:23:55
C1_n100_d100_0009.csv,2076.7,22,60.07,150.05,210.14,2026-04-28 20:27:25
C1_n100_d100_0010.csv,1764.9,15,60.1,150.04,210.16,2026-04-28 20:30:55
C1_n100_d100_0011.csv,2067.1,17,60.06,150.04,210.14,2026-04-28 20:34:25
C1_n100_d100_0012.csv,1971.6,16,80.15,150.04,230.21,2026-04-28 20:38:15
C1_n100_d100_0013.csv,2118.4,20,60.08,150.04,210.16,2026-04-28 20:41:46
C1_n100_d100_0014.csv,2002.6,19,40.04,150.07,190.16,2026-04-28 20:44:56
C1_n100_d100_0015.csv,1951.4,14,100.16,150.06,250.25,2026-04-28 20:49:06
C1_n100_d100_0016.csv,1957.2,15,80.12,150.04,230.2,2026-04-28 20:52:56
C1_n100_d100_0017.csv,1829.9,16,80.1,150.04,230.16,2026-04-28 20:56:46
C1_n100_d100_0018.csv,1914.2,17,60.06,150.04,210.13,2026-04-28 21:00:16
C1_n100_d100_0019.csv,2138,14,100.14,150.04,250.21,2026-04-28 21:04:27
C1_n100_d100_0020.csv,2007.6,17,80.13,150.05,230.2,2026-04-28 21:08:17
C1_n100_d100_0021.csv,1936,15,100.12,150.05,250.2,2026-04-28 21:12:27
C1_n100_d100_0022.csv,1999.6,19,40.08,150.04,190.15,2026-04-28 21:15:37
C1_n100_d100_0023.csv,1950.3,18,60.07,150.04,210.14,2026-04-28 21:19:07
C1_n100_d100_0024.csv,1994.4,14,120.2,150.06,270.29,2026-04-28 21:23:38
C1_n100_d100_0025.csv,2133.6,24,60.07,150.04,210.15,2026-04-28 21:27:08
C1_n100_d100_0026.csv,2131.7,14,100.14,150.04,250.2,2026-04-28 21:31:18
C1_n100_d100_0027.csv,1941.1,14,100.15,150.04,250.22,2026-04-28 21:35:28
C1_n100_d100_0028.csv,1958.5,15,80.12,150.04,230.19,2026-04-28 21:39:18
C1_n100_d100_0029.csv,2027.8,21,40.04,150.05,190.11,2026-04-28 21:42:29
C1_n100_d100_0030.csv,2026,19,40.04,150.04,190.11,2026-04-28 21:45:39
C1_n100_d100_0031.csv,1907.9,15,60.08,150.04,210.14,2026-04-28 21:49:09
C1_n100_d100_0032.csv,2078.6,16,80.16,150.04,230.22,2026-04-28 21:52:59
C1_n100_d100_0033.csv,2165.9,15,120.17,150.03,270.22,2026-04-28 21:57:29
C1_n100_d100_0034.csv,2053.9,15,80.16,150.04,230.22,2026-04-28 22:01:19
C1_n100_d100_0035.csv,2273,24,60.08,150.04,210.14,2026-04-28 22:04:50
C1_n100_d100_0036.csv,2015.2,19,60.08,150.06,210.17,2026-04-28 22:08:20
C1_n100_d100_0037.csv,2271.4,23,60.06,150.04,210.13,2026-04-28 22:11:50
C1_n100_d100_0038.csv,1993.3,14,80.11,150.04,230.17,2026-04-28 22:15:40
C1_n100_d100_0039.csv,1844.7,15,60.07,150.04,210.15,2026-04-28 22:19:10
C1_n100_d100_0040.csv,2174.4,14,120.2,150.04,270.26,2026-04-28 22:23:40
C1_n100_d100_0041.csv,2340.3,22,60.07,150.07,210.17,2026-04-28 22:27:11
C1_n100_d100_0042.csv,2054.8,15,80.14,150.05,230.22,2026-04-28 22:31:01
C1_n100_d100_0043.csv,1860.5,18,40.03,150.04,190.12,2026-04-28 22:34:11
C1_n100_d100_0044.csv,1995,17,60.06,150.03,210.12,2026-04-28 22:37:41
C1_n100_d100_0045.csv,2026.7,14,100.16,150.04,250.22,2026-04-28 22:41:51
C1_n100_d100_0046.csv,1972.8,15,80.11,150.04,230.19,2026-04-28 22:45:42
C1_n100_d100_0047.csv,1867.7,14,80.12,150.05,230.2,2026-04-28 22:49:32
C1_n100_d100_0048.csv,1864.9,16,80.11,150.05,230.18,2026-04-28 22:53:22
C1_n100_d100_0049.csv,2192.7,22,60.09,150.04,210.15,2026-04-28 22:56:52
C1_n100_d100_0050.csv,2088.4,20,60.09,150.04,210.15,2026-04-28 23:00:22
C1_n100_d100_0051.csv,1992.6,17,80.12,150.04,230.18,2026-04-28 23:04:12
C1_n100_d100_0052.csv,2048.8,15,100.16,150.04,250.23,2026-04-28 23:08:23
C1_n100_d100_0053.csv,2104.9,19,60.09,150.04,210.17,2026-04-28 23:11:53
C1_n100_d100_0054.csv,2507.1,16,80.13,150.04,230.2,2026-04-28 23:15:43
C1_n100_d100_0055.csv,2177.8,15,80.12,150.03,230.18,2026-04-28 23:19:33
C1_n100_d100_0056.csv,1952.7,16,80.11,150.04,230.18,2026-04-28 23:23:23
C1_n100_d100_0057.csv,1933.4,16,80.13,150.04,230.21,2026-04-28 23:27:14
C1_n100_d100_0058.csv,2029.5,16,80.1,150.04,230.16,2026-04-28 23:31:04
C1_n100_d100_0059.csv,2022.8,18,60.07,150.04,210.14,2026-04-28 23:34:34
C1_n100_d100_0060.csv,1994.5,18,60.09,150.04,210.16,2026-04-28 23:38:04
C1_n100_d100_0061.csv,2367,24,40.04,150.04,190.11,2026-04-28 23:41:14
C1_n100_d100_0062.csv,2136.4,20,60.07,150.03,210.13,2026-04-28 23:44:44
